Train on 22522 samples, validate on 5716 samples
DDI-DrugBank.d680.s8|DDI-DrugBank.d680.s8.e0|DDI-DrugBank.d680.s8.e3|0|null
DDI-DrugBank.d680.s8|DDI-DrugBank.d680.s8.e1|DDI-DrugBank.d680.s8.e2|0|null
DDI-DrugBank.d680.s8|DDI-DrugBank.d680.s8.e1|DDI-DrugBank.d680.s8.e3|0|null
DDI-DrugBank.d680.s8|DDI-DrugBank.d680.s8.e2|DDI-DrugBank.d680.s8.e3|0|null
DDI-DrugBank.d680.s9|DDI-DrugBank.d680.s9.e0|DDI-DrugBank.d680.s9.e1|0|null
DDI-DrugBank.d680.s9|DDI-DrugBank.d680.s9.e0|DDI-DrugBank.d680.s9.e2|0|null
DDI-DrugBank.d680.s9|DDI-DrugBank.d680.s9.e0|DDI-DrugBank.d680.s9.e3|0|null
DDI-DrugBank.d680.s9|DDI-DrugBank.d680.s9.e1|DDI-DrugBank.d680.s9.e2|0|null
DDI-DrugBank.d680.s9|DDI-DrugBank.d680.s9.e1|DDI-DrugBank.d680.s9.e3|0|null
DDI-DrugBank.d680.s9|DDI-DrugBank.d680.s9.e2|DDI-DrugBank.d680.s9.e3|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e0|DDI-DrugBank.d723.s0.e1|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e0|DDI-DrugBank.d723.s0.e2|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e0|DDI-DrugBank.d723.s0.e3|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e0|DDI-DrugBank.d723.s0.e4|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e0|DDI-DrugBank.d723.s0.e5|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e1|DDI-DrugBank.d723.s0.e2|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e1|DDI-DrugBank.d723.s0.e3|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e1|DDI-DrugBank.d723.s0.e4|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e1|DDI-DrugBank.d723.s0.e5|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e2|DDI-DrugBank.d723.s0.e3|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e2|DDI-DrugBank.d723.s0.e4|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e2|DDI-DrugBank.d723.s0.e5|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e3|DDI-DrugBank.d723.s0.e4|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e3|DDI-DrugBank.d723.s0.e5|0|null
DDI-DrugBank.d723.s0|DDI-DrugBank.d723.s0.e4|DDI-DrugBank.d723.s0.e5|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e1|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e2|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e3|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e4|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e5|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e6|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e7|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e0|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e1|DDI-DrugBank.d716.s0.e2|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e1|DDI-DrugBank.d716.s0.e3|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e1|DDI-DrugBank.d716.s0.e4|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e1|DDI-DrugBank.d716.s0.e5|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e1|DDI-DrugBank.d716.s0.e6|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e1|DDI-DrugBank.d716.s0.e7|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e1|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e2|DDI-DrugBank.d716.s0.e3|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e2|DDI-DrugBank.d716.s0.e4|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e2|DDI-DrugBank.d716.s0.e5|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e2|DDI-DrugBank.d716.s0.e6|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e2|DDI-DrugBank.d716.s0.e7|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e2|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e3|DDI-DrugBank.d716.s0.e4|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e3|DDI-DrugBank.d716.s0.e5|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e3|DDI-DrugBank.d716.s0.e6|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e3|DDI-DrugBank.d716.s0.e7|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e3|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e4|DDI-DrugBank.d716.s0.e5|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e4|DDI-DrugBank.d716.s0.e6|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e4|DDI-DrugBank.d716.s0.e7|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e4|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e5|DDI-DrugBank.d716.s0.e6|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e5|DDI-DrugBank.d716.s0.e7|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e5|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e6|DDI-DrugBank.d716.s0.e7|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e6|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s0|DDI-DrugBank.d716.s0.e7|DDI-DrugBank.d716.s0.e8|0|null
DDI-DrugBank.d716.s1|DDI-DrugBank.d716.s1.e0|DDI-DrugBank.d716.s1.e1|0|null
DDI-DrugBank.d716.s2|DDI-DrugBank.d716.s2.e0|DDI-DrugBank.d716.s2.e1|0|null
DDI-DrugBank.d716.s2|DDI-DrugBank.d716.s2.e0|DDI-DrugBank.d716.s2.e2|0|null
DDI-DrugBank.d716.s2|DDI-DrugBank.d716.s2.e1|DDI-DrugBank.d716.s2.e2|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e1|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e2|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e3|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e4|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e5|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e6|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e7|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e0|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e2|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e3|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e4|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e5|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e6|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e7|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e1|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e3|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e4|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e5|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e6|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e7|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e2|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e4|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e5|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e6|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e7|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e3|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e5|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e6|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e7|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e4|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e6|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e7|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e5|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e7|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e6|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e8|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e7|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e9|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e8|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e9|DDI-DrugBank.d716.s5.e10|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e9|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e9|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e9|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e9|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e9|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e9|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e10|DDI-DrugBank.d716.s5.e11|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e10|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e10|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e10|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e10|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e10|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e11|DDI-DrugBank.d716.s5.e12|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e11|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e11|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e11|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e11|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e12|DDI-DrugBank.d716.s5.e13|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e12|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e12|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e12|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e13|DDI-DrugBank.d716.s5.e14|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e13|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e13|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e14|DDI-DrugBank.d716.s5.e15|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e14|DDI-DrugBank.d716.s5.e16|0|null
DDI-DrugBank.d716.s5|DDI-DrugBank.d716.s5.e15|DDI-DrugBank.d716.s5.e16|0|null
DDI-MedLine.d179.s0|DDI-MedLine.d179.s0.e0|DDI-MedLine.d179.s0.e1|0|null
DDI-MedLine.d179.s2|DDI-MedLine.d179.s2.e0|DDI-MedLine.d179.s2.e1|0|null
DDI-MedLine.d179.s2|DDI-MedLine.d179.s2.e0|DDI-MedLine.d179.s2.e2|0|null
DDI-MedLine.d179.s2|DDI-MedLine.d179.s2.e1|DDI-MedLine.d179.s2.e2|0|null
DDI-MedLine.d179.s3|DDI-MedLine.d179.s3.e0|DDI-MedLine.d179.s3.e1|0|null
DDI-MedLine.d179.s5|DDI-MedLine.d179.s5.e0|DDI-MedLine.d179.s5.e1|0|null
DDI-MedLine.d179.s6|DDI-MedLine.d179.s6.e0|DDI-MedLine.d179.s6.e1|0|null
DDI-MedLine.d179.s7|DDI-MedLine.d179.s7.e0|DDI-MedLine.d179.s7.e1|0|null
DDI-MedLine.d179.s8|DDI-MedLine.d179.s8.e0|DDI-MedLine.d179.s8.e1|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e0|DDI-MedLine.d179.s10.e1|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e0|DDI-MedLine.d179.s10.e2|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e0|DDI-MedLine.d179.s10.e3|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e0|DDI-MedLine.d179.s10.e4|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e1|DDI-MedLine.d179.s10.e2|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e1|DDI-MedLine.d179.s10.e3|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e1|DDI-MedLine.d179.s10.e4|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e2|DDI-MedLine.d179.s10.e3|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e2|DDI-MedLine.d179.s10.e4|0|null
DDI-MedLine.d179.s10|DDI-MedLine.d179.s10.e3|DDI-MedLine.d179.s10.e4|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e0|DDI-DrugBank.d610.s0.e1|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e0|DDI-DrugBank.d610.s0.e2|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e0|DDI-DrugBank.d610.s0.e3|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e0|DDI-DrugBank.d610.s0.e4|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e1|DDI-DrugBank.d610.s0.e2|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e1|DDI-DrugBank.d610.s0.e3|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e1|DDI-DrugBank.d610.s0.e4|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e2|DDI-DrugBank.d610.s0.e3|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e2|DDI-DrugBank.d610.s0.e4|0|null
DDI-DrugBank.d610.s0|DDI-DrugBank.d610.s0.e3|DDI-DrugBank.d610.s0.e4|0|null
DDI-DrugBank.d610.s1|DDI-DrugBank.d610.s1.e0|DDI-DrugBank.d610.s1.e1|0|null
DDI-DrugBank.d610.s1|DDI-DrugBank.d610.s1.e0|DDI-DrugBank.d610.s1.e2|0|null
DDI-DrugBank.d610.s1|DDI-DrugBank.d610.s1.e1|DDI-DrugBank.d610.s1.e2|0|null
DDI-DrugBank.d610.s2|DDI-DrugBank.d610.s2.e0|DDI-DrugBank.d610.s2.e1|0|null
DDI-DrugBank.d610.s3|DDI-DrugBank.d610.s3.e0|DDI-DrugBank.d610.s3.e1|0|null
DDI-DrugBank.d610.s3|DDI-DrugBank.d610.s3.e0|DDI-DrugBank.d610.s3.e2|0|null
DDI-DrugBank.d610.s3|DDI-DrugBank.d610.s3.e0|DDI-DrugBank.d610.s3.e3|0|null
DDI-DrugBank.d610.s3|DDI-DrugBank.d610.s3.e1|DDI-DrugBank.d610.s3.e2|0|null
DDI-DrugBank.d610.s3|DDI-DrugBank.d610.s3.e1|DDI-DrugBank.d610.s3.e3|0|null
DDI-DrugBank.d610.s3|DDI-DrugBank.d610.s3.e2|DDI-DrugBank.d610.s3.e3|0|null
DDI-DrugBank.d610.s4|DDI-DrugBank.d610.s4.e0|DDI-DrugBank.d610.s4.e1|0|null
DDI-DrugBank.d610.s4|DDI-DrugBank.d610.s4.e0|DDI-DrugBank.d610.s4.e2|0|null
